productID,product_name,brandID,original_price,discount,price,discount_percent,rating,review_count,quantity_sold,shopID,dateID
164494879,Điện thoại OPPO A55 4GB/64GB Xanh - Hàng Chính Hãng,25643,3912000,0,3912000,0,0,0,0,11119,1520
164923596,Điện Thoại Oppo A16k 4GB/64GB - Hàng Chính Hãng,25643,3168000,0,3168000,0,0,0,0,11119,1517
164937168,Điện Thoại Oppo A16k (4GB/64G) - Hàng Chính Hãng,25643,4290000,1320000,2970000,31,5,121,19972,1,1517
165700071,Điện Thoại Oppo A76 6GB/128GB - Hàng Chính Hãng,25643,5436000,0,5436000,0,0,0,0,11119,1520
165747145,"Điện thoại Xiaomi Redmi 9A 2GB/32GB - Chip MediaTek Helio G25 8 nhân (12 nm), Màn hình 6.53"" HD+, Camera 13MP, Pin 5000 - Hàng Chính Hãng",25422,2160000,0,2160000,0,0,0,0,11119,1545
166034907,Điện Thoại Oppo A76 (6GB/128G) - Hàng Chính Hãng,25643,5436000,0,5436000,0,0,0,0,11119,1522
166034912,Điện Thoại Oppo A16 (3GB/32G) - Hàng Chính Hãng,25643,3192000,0,3192000,0,0,0,0,11119,1522
166041979,Điện Thoại Oppo A16 3GB/32GB - Hàng Chính Hãng,25643,3192000,0,3192000,0,0,0,0,11119,1522
166389506,Điện thoại Samsung Galaxy A03 Core (2GB/32GB) - Hàng chính hãng - ĐÃ KÍCH HOẠT BẢO HÀNH ĐIỆN TỬ,18802,3500000,1649000,1851000,47,0,0,0,11119,1523
166438257,Điện thoại Xiaomi Redmi Note 11S (8GB/128GB) - Hàng chính hãng,25422,6690000,1628000,5062000,24,5,11,35,162514,1523
166613831,Điện Thoại Xiaomi Note 11 Pro (8GB/128GB) - Hàng Chính Hãng,25422,7032000,0,7032000,0,0,0,0,11119,1523
167015200,Bút Spen Samsung S22 Ultra - Hàng Chính Hãng ,18802,1990000,800000,1190000,40,0,0,1,91934,1524
167267098,Điện thoại Samsung Galaxy S21 FE 5G (8GB/128GB) - Hàng chính hãng,18802,12900000,3551000,9349000,28,0,0,1,11119,1527
167383164,Điện Thoại Xiaomi Redmi Note 11 - Hàng Chính Hãng,25422,4690000,0,4690000,0,5,1,3,34716,1527
167495996,Điện Thoại Samsung A03 Core 2GB/32GB - Hàng Chính Hãng,18802,2590000,801000,1789000,31,4.6,15,68,179232,1527
168055450,Điện thoại Samsung Galaxy S22 Plus 5G (8GB/128GB) - Hàng chính hãng - ĐÃ KÍCH HOẠT BẢO HÀNH ĐIỆN TỬ,18802,23000000,6500000,16500000,28,0,0,0,11119,1529
168062573,Điện thoại Samsung Galaxy S22 Plus 5G (8GB/256GB) - Hàng chính hãng - ĐÃ KÍCH HOẠT BẢO HÀNH ĐIỆN TỬ,18802,23000000,6500000,16500000,28,0,0,0,11119,1529
168094334,Điện thoại Samsung Galaxy S20 FE (8GB/256GB) - Hàng chính hãng,18802,12490000,3428000,9062000,27,0,0,0,11119,1529
168183442,"Điện thoại Smartphone iTel A26 (2GB/32GB) - Chụp Ảnh AI, Mở Khoá Bằng Khuôn Mặt  - Hàng Chính Hãng",111461,1999000,600000,1399000,30,4.7,3,6,223387,1548
168282061,Điện Thoại Oppo Reno 7Z 5G (8GB/128G) - Hàng Chính Hãng,25643,7668000,0,7668000,0,0,0,0,11119,1529
168304456,"Điện thoại TECNO Spark 8C (4GB/64GB) - RAM tùy biến mở rộng tới 7GB |Pin 5000 mAh| 6.6"" HD+ 90Hz - Hàng chính hãng",162007,2990000,591000,2399000,20,5,1,5,179232,1530
168304536,Điện Thoại Oppo Reno 7 5G (8GB/256G),25643,12990000,6000000,6990000,46,4.8,70,277,1,1529
168317790,Điện Thoại Xiaomi Redmi 9A (2GB/32GB)- Đã kích hoạt bảo hành điện tử- Hàng Chính Hãng - Peacock Green,25422,2088000,0,2088000,0,0,0,0,11119,1530
168320000,Điện Thoại Xiaomi Redmi 9A (2GB/32GB)- Đã kích hoạt bảo hành điện tử- Hàng Chính Hãng - Granite Gray,25422,2088000,0,2088000,0,0,0,0,11119,1530
168520983,Điện Thoại Realme C21Y 3GB/32GB - Hàng Chính Hãng,247549,2990000,921000,2069000,31,5,1,5,179232,1530
168844555,Điện thoại Samsung Galaxy S22 5G (8GB) - Hàng chính hãng,18802,20970000,0,20970000,0,4.5,7,27,261128,1531
168940033,Điện thoại Samsung Galaxy S22 Ultra 5G (8GB/128GB) - Hàng Chính Hãng,18802,29755000,0,29755000,0,2,1,4,261128,1531
169266793,Điện thoại Samsung Galaxy S21 FE 5G (8GB/128GB) - Hàng chính hãng - Đã Active,18802,15000000,5651000,9349000,38,0,0,0,11119,1534
169304867,Điện Thoại Oppo A55 (4GB/64GB) - Hàng Chính Hãng - Đã Kích Hoạt Bảo Hành Điện Tử - Đen Mạnh Mẽ,25643,3912000,0,3912000,0,0,0,0,11119,1534
169464835,Điện Thoại Oppo A76 6GB/128GB - Hàng Chính Hãng,25643,5436000,0,5436000,0,0,0,0,11119,1534
169520871,Điện Thoại Xiaomi Redmi Note 11 Pro 5G 8GB/128GB - Hàng Chính Hãng,25422,8990000,1271000,7719000,14,4.3,6,11,29952,1534
